station,month,month_name,slope,intercept,r2,rmse,n
mfb,1,Jan,0.8686701071777425,-0.24567936936990636,0.8639221626441922,2.2188324527962746,835
mfb,2,Feb,0.8430932425592912,-0.058744933101418234,0.8680689591941156,1.7305357941113093,788
mfb,3,Mar,0.816695234017231,-0.16345179019557515,0.7792007992405804,1.886781078285923,840
mfb,4,Apr,0.7162632009668707,0.06695768512457227,0.7975772242275349,1.2561095435958365,806
mfb,5,May,0.7188635035694038,0.9926324585885509,0.7105131768157252,1.446092479124476,773
mfb,6,Jun,0.8205781249336944,1.6920789469667676,0.6520440012723193,1.7673566186297094,763
mfb,7,Jul,0.9549854209504683,1.1983761602250147,0.4562884487285628,2.8060297358003083,820
mfb,8,Aug,0.7823019032872973,3.4106704051395105,0.39439890358453533,2.357343818746,825
mfb,9,Sep,0.6566348551458125,4.033477934581864,0.31736828815241147,2.7658015114036196,800
mfb,10,Oct,0.7137190751753485,1.943253263120967,0.7813527145700668,1.4999127725957828,843
mfb,11,Nov,0.8022728681174874,0.776228154685151,0.8675891731842027,1.6439272390319744,859
mfb,12,Dec,0.8180548406038243,-0.04113476293737387,0.8277206945038175,2.056228101395363,912
mcneil,1,Jan,0.837021256495261,0.015610620387886121,0.9016164103284724,1.7904036310994378,659
mcneil,2,Feb,0.8028427495467148,-0.3655890835689498,0.867791293545992,1.5525868050749756,609
mcneil,3,Mar,0.8471540408458865,-0.6180410405493391,0.8792460360710904,1.4700889566798645,685
mcneil,4,Apr,0.7826359698063728,-0.8192379771381321,0.8489493605427408,1.1389047553867728,663
mcneil,5,May,0.8317215750854714,-0.8244254016337709,0.7014077879064086,1.4643602845740933,679
mcneil,6,Jun,1.0241517778183158,-1.4583139087720594,0.6846316176569622,1.6383738017109657,625
mcneil,7,Jul,1.0177818187326424,-0.751173826967557,0.723007983803155,1.3484599113490672,656
mcneil,8,Aug,0.8289960625017129,1.8046028724906353,0.6617419061756822,1.2002274530573664,651
mcneil,9,Sep,0.7217489036175779,2.3842682492511837,0.7075068418509295,1.1863283285918926,623
mcneil,10,Oct,0.8086267288027702,1.1335693236899962,0.838118597531981,1.3032436705524535,704
mcneil,11,Nov,0.8070304718470854,0.7028643614993004,0.8785795581706297,1.534235040118948,721
mcneil,12,Dec,0.7653711264149256,0.17747657020541024,0.7671367047532439,2.396184609144599,723
anchor,1,Jan,0.9010112582605775,0.8199416722866114,0.9032333227691944,1.8044296811567377,572
anchor,2,Feb,0.8413593306561816,0.3746650905130837,0.8679202123004327,1.62886109062558,541
anchor,3,Mar,0.8274574139409039,-0.25577360478194716,0.8392585005763027,1.6358506019896077,584
anchor,4,Apr,0.7528064270616889,-0.5019984711960064,0.8728583214323465,1.0438967226923745,569
anchor,5,May,0.7203172143392877,-0.032494061239250964,0.7957801526326334,1.2756986780156763,566
anchor,6,Jun,0.7722425240590025,1.0356333065129062,0.7419069494817419,1.4423520203451519,537
anchor,7,Jul,0.7477504015257082,2.4283649420196705,0.7860770697851336,1.0995683332627861,544
anchor,8,Aug,0.667096744612846,3.588320332620863,0.6985625505156565,0.9869705752491957,529
anchor,9,Sep,0.705462449777841,2.7643094652463858,0.7824077940554321,1.014920936411269,553
anchor,10,Oct,0.8048678181772888,1.7872255847111256,0.8786349985185739,1.049038420077526,613
