date,temperature,precipitation,source
1990-10-01,,0.0,nuka
1990-10-02,,0.0,nuka
1990-10-03,,0.0,nuka
1990-10-04,,0.0,nuka
1990-10-05,,0.0,nuka
1990-10-06,,0.0,nuka
1990-10-07,,10.16,nuka
1990-10-08,,0.0,nuka
1990-10-09,,10.16,nuka
1990-10-10,,0.0,nuka
1990-10-11,,10.159999999999997,nuka
1990-10-12,,91.43999999999998,nuka
1990-10-13,,0.0,nuka
1990-10-14,,10.160000000000009,nuka
1990-10-15,,10.159999999999986,nuka
1990-10-16,,0.0,nuka
1990-10-17,,0.0,nuka
1990-10-18,,0.0,nuka
1990-10-19,,0.0,nuka
1990-10-20,,20.320000000000018,nuka
1990-10-21,,20.319999999999993,nuka
1990-10-22,,10.159999999999986,nuka
1990-10-23,,0.0,nuka
1990-10-24,,0.0,nuka
1990-10-25,,20.320000000000018,nuka
1990-10-26,,0.0,nuka
1990-10-27,,20.319999999999972,nuka
1990-10-28,,0.0,nuka
1990-10-29,,10.160000000000009,nuka
1990-10-30,,0.0,nuka
1990-10-31,,0.0,nuka
1990-11-01,,0.0,nuka
1990-11-02,,0.0,nuka
1990-11-03,,0.0,nuka
1990-11-04,,0.0,nuka
1990-11-05,,0.0,nuka
1990-11-06,,0.0,nuka
1990-11-07,,0.0,nuka
1990-11-08,,10.160000000000009,nuka
1990-11-09,,0.0,nuka
1990-11-10,,0.0,nuka
1990-11-11,,0.0,nuka
1990-11-12,,0.0,nuka
1990-11-13,,0.0,nuka
1990-11-14,,0.0,nuka
1990-11-15,,0.0,nuka
1990-11-16,,0.0,nuka
1990-11-17,,0.0,nuka
1990-11-18,,10.160000000000009,nuka
1990-11-19,,0.0,nuka
1990-11-20,,0.0,nuka
1990-11-21,,0.0,nuka
1990-11-22,,0.0,nuka
1990-11-23,,10.160000000000009,nuka
1990-11-24,,0.0,nuka
1990-11-25,,0.0,nuka
1990-11-26,,10.159999999999963,nuka
1990-11-27,,0.0,nuka
1990-11-28,,0.0,nuka
1990-11-29,,0.0,nuka
1990-11-30,,0.0,nuka
1990-12-01,,0.0,nuka
1990-12-02,,0.0,nuka
1990-12-03,,0.0,nuka
1990-12-04,,0.0,nuka
1990-12-05,,0.0,nuka
1990-12-06,,20.320000000000018,nuka
1990-12-07,,0.0,nuka
1990-12-08,,10.160000000000009,nuka
1990-12-09,,0.0,nuka
1990-12-10,,0.0,nuka
1990-12-11,,30.47999999999998,nuka
1990-12-12,,0.0,nuka
1990-12-13,,10.160000000000009,nuka
1990-12-14,,0.0,nuka
1990-12-15,,0.0,nuka
1990-12-16,,0.0,nuka
1990-12-17,,0.0,nuka
1990-12-18,,0.0,nuka
1990-12-19,,0.0,nuka
1990-12-20,,0.0,nuka
1990-12-21,,0.0,nuka
1990-12-22,,0.0,nuka
1990-12-23,,10.160000000000009,nuka
1990-12-24,,0.0,nuka
1990-12-25,,10.160000000000009,nuka
1990-12-26,,0.0,nuka
1990-12-27,,0.0,nuka
1990-12-28,,10.159999999999963,nuka
1990-12-29,,10.160000000000009,nuka
1990-12-30,,0.0,nuka
1990-12-31,,0.0,nuka
1991-01-01,,0.0,nuka
1991-01-02,,0.0,nuka
1991-01-03,,0.0,nuka
1991-01-04,,10.160000000000009,nuka
1991-01-05,,0.0,nuka
1991-01-06,,0.0,nuka
1991-01-07,,0.0,nuka
1991-01-08,,0.0,nuka
1991-01-09,,0.0,nuka
1991-01-10,,0.0,nuka
1991-01-11,,0.0,nuka
1991-01-12,,0.0,nuka
1991-01-13,,0.0,nuka
1991-01-14,,20.320000000000018,nuka
1991-01-15,,0.0,nuka
1991-01-16,,0.0,nuka
1991-01-17,,10.159999999999963,nuka
1991-01-18,,0.0,nuka
1991-01-19,,10.160000000000053,nuka
1991-01-20,,0.0,nuka
1991-01-21,,10.159999999999963,nuka
1991-01-22,,10.159999999999963,nuka
1991-01-23,,20.320000000000018,nuka
1991-01-24,,0.0,nuka
1991-01-25,,0.0,nuka
1991-01-26,,0.0,nuka
1991-01-27,,0.0,nuka
1991-01-28,,0.0,nuka
1991-01-29,,0.0,nuka
1991-01-30,,0.0,nuka
1991-01-31,,0.0,nuka
1991-02-01,,0.0,nuka
1991-02-02,,10.160000000000053,nuka
1991-02-03,,0.0,nuka
1991-02-04,,20.319999999999926,nuka
1991-02-05,,0.0,nuka
1991-02-06,,0.0,nuka
1991-02-07,,0.0,nuka
1991-02-08,,10.160000000000053,nuka
1991-02-09,,20.320000000000018,nuka
1991-02-10,,0.0,nuka
1991-02-11,,10.159999999999963,nuka
1991-02-12,,40.640000000000036,nuka
1991-02-13,,10.159999999999963,nuka
1991-02-14,,0.0,nuka
1991-02-15,,10.159999999999963,nuka
1991-02-16,,0.0,nuka
1991-02-17,,10.160000000000053,nuka
1991-02-18,,0.0,nuka
1991-02-19,,0.0,nuka
1991-02-20,,0.0,nuka
1991-02-21,,0.0,nuka
1991-02-22,,0.0,nuka
1991-02-23,,40.639999999999944,nuka
1991-02-24,,0.0,nuka
1991-02-25,,10.160000000000053,nuka
1991-02-26,,40.639999999999944,nuka
1991-02-27,,0.0,nuka
1991-02-28,,0.0,nuka
1991-03-01,,0.0,nuka
1991-03-02,,0.0,nuka
1991-03-03,,0.0,nuka
1991-03-04,,0.0,nuka
1991-03-05,,0.0,nuka
1991-03-06,,10.160000000000053,nuka
1991-03-07,,10.159999999999963,nuka
1991-03-08,,0.0,nuka
1991-03-09,,0.0,nuka
1991-03-10,,0.0,nuka
1991-03-11,,0.0,nuka
1991-03-12,,0.0,nuka
1991-03-13,,0.0,nuka
1991-03-14,,0.0,nuka
1991-03-15,,30.47999999999998,nuka
1991-03-16,,0.0,nuka
1991-03-17,,20.320000000000018,nuka
1991-03-18,,10.160000000000053,nuka
1991-03-19,,30.47999999999989,nuka
1991-03-20,,0.0,nuka
1991-03-21,,0.0,nuka
1991-03-22,,0.0,nuka
1991-03-23,,0.0,nuka
1991-03-24,,0.0,nuka
1991-03-25,,0.0,nuka
1991-03-26,,0.0,nuka
1991-03-27,,10.160000000000144,nuka
1991-03-28,,20.319999999999926,nuka
1991-03-29,,10.159999999999963,nuka
1991-03-30,,0.0,nuka
1991-03-31,,0.0,nuka
1991-04-01,,0.0,nuka
1991-04-02,,0.0,nuka
