date,temperature,precipitation,temp_source,precip_source
1998-10-01,5.209628418803419,0.0,climatology,nuka
1998-10-02,4.964972435897436,0.0,climatology,nuka
1998-10-03,5.133217948717948,2.54,climatology,nuka
1998-10-04,5.0472489316239315,2.54,climatology,nuka
1998-10-05,5.071136324786324,5.08,climatology,nuka
1998-10-06,4.7837254273504275,5.079999999999998,climatology,nuka
1998-10-07,4.678213675213675,10.16,climatology,nuka
1998-10-08,4.052329700854701,2.5400000000000023,climatology,nuka
1998-10-09,4.200109401709402,2.5399999999999965,climatology,nuka
1998-10-10,3.71193782051282,2.5400000000000023,climatology,nuka
1998-10-11,3.427879487179487,2.5399999999999965,climatology,nuka
1998-10-12,3.1045773504273506,2.5400000000000023,climatology,nuka
1998-10-13,2.999999999999999,2.5400000000000023,nuka,nuka
1998-10-14,2.000000000000001,2.5399999999999965,nuka,nuka
1998-10-15,0.0,0.0,nuka,nuka
1998-10-16,0.0,12.700000000000005,nuka,nuka
1998-10-17,2.000000000000001,40.639999999999986,nuka,nuka
1998-10-18,2.999999999999999,25.4,nuka,nuka
1998-10-19,0.9999999999999984,10.160000000000009,nuka,nuka
1998-10-20,0.0,17.780000000000005,nuka,nuka
1998-10-21,0.9999999999999984,33.019999999999996,nuka,nuka
1998-10-22,4.000000000000002,22.859999999999985,nuka,nuka
1998-10-23,2.999999999999999,10.160000000000009,nuka,nuka
1998-10-24,0.0,2.5399999999999907,nuka,nuka
1998-10-25,0.9999999999999984,35.56000000000001,nuka,nuka
1998-10-26,-1.0000000000000004,48.260000000000005,nuka,nuka
1998-10-27,0.0,2.5399999999999907,nuka,nuka
1998-10-28,0.9999999999999984,15.23999999999999,nuka,nuka
1998-10-29,0.9999999999999984,0.0,nuka,nuka
1998-10-30,0.9999999999999984,2.5399999999999907,nuka,nuka
1998-10-31,2.000000000000001,2.540000000000036,nuka,nuka
1998-11-01,2.999999999999999,12.7,nuka,nuka
1998-11-02,5.0,2.5399999999999907,nuka,nuka
1998-11-03,4.000000000000002,73.66000000000001,nuka,nuka
1998-11-04,2.000000000000001,17.77999999999998,nuka,nuka
1998-11-05,0.0,58.420000000000016,nuka,nuka
1998-11-06,-1.0000000000000004,5.079999999999981,nuka,nuka
1998-11-07,0.9999999999999984,0.0,nuka,nuka
1998-11-08,2.000000000000001,0.0,nuka,nuka
1998-11-09,2.000000000000001,0.0,nuka,nuka
1998-11-10,0.0,0.0,nuka,nuka
1998-11-11,-2.000000000000001,2.540000000000036,nuka,nuka
1998-11-12,0.0,2.539999999999946,nuka,nuka
1998-11-13,-1.0000000000000004,0.0,nuka,nuka
1998-11-14,-1.0000000000000004,0.0,nuka,nuka
1998-11-15,-2.000000000000001,2.540000000000036,nuka,nuka
1998-11-16,0.0,0.0,nuka,nuka
1998-11-17,0.0,0.0,nuka,nuka
1998-11-18,0.0,0.0,nuka,nuka
1998-11-19,-1.0000000000000004,7.620000000000018,nuka,nuka
1998-11-20,-2.000000000000001,43.17999999999998,nuka,nuka
1998-11-21,-6.0,5.079999999999981,nuka,nuka
1998-11-22,-5.0,2.540000000000036,nuka,nuka
1998-11-23,-9.0,0.0,nuka,nuka
1998-11-24,-8.0,0.0,nuka,nuka
1998-11-25,-11.0,0.0,nuka,nuka
1998-11-26,-4.0,0.0,nuka,nuka
1998-11-27,0.9999999999999984,0.0,nuka,nuka
1998-11-28,-1.0000000000000004,0.0,nuka,nuka
1998-11-29,-2.000000000000001,27.939999999999944,nuka,nuka
1998-11-30,-1.0000000000000004,43.17999999999998,nuka,nuka
1998-12-01,-2.999999999999999,20.320000000000018,nuka,nuka
1998-12-02,-2.999999999999999,10.160000000000053,nuka,nuka
1998-12-03,-1.0000000000000004,5.079999999999981,nuka,nuka
1998-12-04,-4.0,0.0,nuka,nuka
1998-12-05,-2.000000000000001,2.539999999999946,nuka,nuka
1998-12-06,-4.0,2.540000000000036,nuka,nuka
1998-12-07,-5.0,0.0,nuka,nuka
1998-12-08,-6.0,0.0,nuka,nuka
1998-12-09,-7.000000000000001,0.0,nuka,nuka
1998-12-10,-10.0,2.540000000000036,nuka,nuka
1998-12-11,-8.0,0.0,nuka,nuka
1998-12-12,-10.0,0.0,nuka,nuka
1998-12-13,-5.0,0.0,nuka,nuka
1998-12-14,-7.000000000000001,2.539999999999946,nuka,nuka
1998-12-15,-9.0,0.0,nuka,nuka
1998-12-16,-5.0,7.620000000000018,nuka,nuka
1998-12-17,0.0,2.540000000000036,nuka,nuka
1998-12-18,0.0,0.0,nuka,nuka
1998-12-19,0.0,0.0,nuka,nuka
1998-12-20,-2.999999999999999,2.539999999999946,nuka,nuka
1998-12-21,-2.999999999999999,5.079999999999981,nuka,nuka
1998-12-22,-6.0,0.0,nuka,nuka
1998-12-23,-8.0,0.0,nuka,nuka
1998-12-24,-14.0,0.0,nuka,nuka
1998-12-25,-13.0,0.0,nuka,nuka
